data,abertura,maximo,minimo,fechamento,volume,data fechamento,volume do ativo
1692576000000,26190.00000000,26819.27000000,25300.00000000,26101.77000000,188618.43325000,1693180799999,4923481690.98755090
1693180800000,26101.78000000,28142.85000000,25333.75000000,25971.21000000,258183.08813000,1693785599999,6876152878.86796260
1693785600000,25971.21000000,26445.50000000,25372.51000000,25841.61000000,156769.66561000,1694390399999,4053984258.00129090
1694390400000,25841.60000000,26888.00000000,24901.00000000,26527.51000000,221247.03537000,1694995199999,5773266974.89297570
1694995200000,26527.50000000,27483.57000000,26122.08000000,26248.38000000,191220.58923000,1695599999999,5139867700.20975540
1695600000000,26248.39000000,28065.51000000,25990.46000000,27992.57000000,189937.16919000,1696204799999,5073578850.20952330
1696204800000,27992.58000000,28580.00000000,27160.50000000,27917.05000000,217523.39638000,1696809599999,6040607903.04058170
1696809600000,27917.06000000,27987.93000000,26538.66000000,27154.15000000,164897.39085000,1697414399999,4470534793.71665380
1697414400000,27154.14000000,30379.99000000,27112.66000000,29992.46000000,294677.81127000,1698019199999,8499515365.78760660
1698019200000,29992.46000000,35280.00000000,29883.60000000,34525.89000000,373306.40874000,1698623999999,12510582555.68817820
1698624000000,34525.88000000,35984.99000000,34025.00000000,35011.88000000,249862.21260000,1699228799999,8674977274.68940510
1699228800000,35011.89000000,37972.24000000,34523.06000000,37064.13000000,261060.64807000,1699833599999,9471933747.13489970
1699833600000,37064.13000000,37980.00000000,34800.00000000,37359.86000000,255993.59565000,1700438399999,9352112203.07075060
1700438400000,37359.85000000,38414.00000000,35632.01000000,37447.43000000,229889.97507000,1701043199999,8562639983.07934710
1701043200000,37447.42000000,40250.00000000,36707.00000000,39972.26000000,222103.26117000,1701647999999,8487028647.02203300
1701648000000,39972.26000000,44700.00000000,39972.26000000,43789.51000000,332080.41362000,1702252799999,14282421615.67815450
1702252800000,43789.50000000,43804.50000000,40222.00000000,41374.65000000,292562.41578000,1702857599999,12297278343.99404630
1702857600000,41374.64000000,44398.26000000,40542.93000000,42991.50000000,245481.20612000,1703462399999,10566656295.24706500
1703462400000,42991.50000000,43802.32000000,41300.00000000,42283.58000000,228462.70228000,1704067199999,9750360049.03370150
1704067200000,42283.58000000,45879.63000000,40750.00000000,43929.02000000,310487.48622000,1704671999999,13613329331.07341430
1704672000000,43929.01000000,48969.48000000,41500.00000000,41732.35000000,470798.80434000,1705276799999,21356230439.61788900
1705276800000,41732.35000000,43578.01000000,40280.00000000,41580.33000000,238486.27274000,1705881599999,10056011079.07423160
1705881600000,41580.32000000,42842.68000000,38555.00000000,42031.06000000,274603.16207000,1706486399999,11116307617.73463270
1706486400000,42031.05000000,43882.36000000,41804.88000000,42582.88000000,203036.61925000,1707091199999,8713194728.76284280
1707091200000,42582.88000000,48592.66000000,42258.10000000,48299.99000000,262240.48357000,1707695999999,11935033613.56033980
1707696000000,48300.00000000,52816.62000000,47710.01000000,52137.67000000,310862.30170000,1708300799999,15789798425.18484140
1708300800000,52137.68000000,52985.00000000,50521.00000000,51728.85000000,223366.16186000,1708905599999,11519591601.71506630
1708905600000,51728.85000000,64000.00000000,50901.44000000,63113.97000000,417907.83383000,1709510399999,24884787678.71181520
1709510400000,63113.97000000,69990.00000000,59005.00000000,68955.88000000,481870.18178200,1710115199999,32048902066.64220901
1710115200000,68955.88000000,73777.00000000,64533.00000000,68393.48000000,477496.91752000,1710719999999,33401114461.52804786
1710720000000,68393.47000000,68956.00000000,60775.00000000,67209.99000000,409762.74414000,1711324799999,26650024155.36925690
1711324800000,67210.00000000,71769.54000000,66385.06000000,71280.01000000,235409.95755000,1711929599999,16447219313.36233680
1711929600000,71280.00000000,71288.23000000,64493.07000000,69360.39000000,274227.11488000,1712534399999,18477347510.28266790
1712534400000,69360.38000000,72797.99000000,60660.57000000,65661.84000000,348008.31904000,1713139199999,23573044024.56446670
1713139200000,65661.85000000,66867.07000000,59600.01000000,64941.15000000,312265.13225000,1713743999999,19770016571.14473550
1713744000000,64941.15000000,67232.35000000,62391.24000000,63118.62000000,183902.50753000,1714348799999,11912668416.23044670
1714348800000,63118.62000000,64734.00000000,56552.82000000,64012.00000000,298372.01720000,1714953599999,18009828104.66185480
1714953600000,64012.00000000,65500.00000000,60187.12000000,61483.99000000,179712.75232000,1715558399999,11213593898.29106830
1715558400000,61484.00000000,67700.00000000,60749.21000000,66274.01000000,195247.04901000,1716163199999,12599942771.40405720
1716163200000,66274.00000000,71979.00000000,66060.31000000,68507.67000000,220708.83749000,1716767999999,15256004970.76810580
1716768000000,68507.67000000,70687.56000000,66670.00000000,67765.63000000,158352.25614000,1717372799999,10805470652.43242300
1717372800000,67765.62000000,71997.02000000,67612.48000000,69648.14000000,165061.19141000,1717977599999,11582063276.17858560
1717977600000,69648.15000000,70195.94000000,65078.00000000,66676.87000000,174066.07718000,1718582399999,11762729785.61039030
1718582400000,66676.86000000,67298.81000000,63178.32000000,63210.01000000,155589.33133000,1719187199999,10122248450.96032670
1719187200000,63210.01000000,63369.80000000,58402.00000000,62772.01000000,177837.60164000,1719791999999,10895644844.96841560
1719792000000,62772.01000000,63861.76000000,53485.93000000,55857.81000000,251967.61048000,1720396799999,14670868704.86308640
1720396800000,55857.81000000,61420.69000000,54260.16000000,60797.91000000,190723.74928000,1721001599999,11007710725.57499050
1721001600000,60797.91000000,68366.66000000,60632.30000000,68165.34000000,205198.52303000,1721606399999,13292211903.24701460
1721606400000,68165.35000000,69399.99000000,63456.70000000,68249.88000000,177889.46168000,1722211199999,11859803772.71989530
1722211200000,68249.88000000,70079.99000000,57122.77000000,58161.00000000,216238.92340000,1722815999999,13848492540.56757020
1722816000000,58161.00000000,62745.14000000,49000.00000000,58712.59000000,370726.80645000,1723420799999,20664617446.70927030
1723420800000,58712.59000000,61800.00000000,56078.54000000,58427.35000000,179945.24534000,1724025599999,10641038279.55443900
1724025600000,58427.35000000,60910.55000000,57787.30000000,60660.86000000,26781.92533000,1724630399999,1575801484.20576940
