data,abertura,maximo,minimo,fechamento,volume,data fechamento,volume do ativo
1692403200000,26054.00000000,26154.57000000,26017.68000000,26099.09000000,1070.80588000,1692406799999,27927928.78858990
1692406800000,26099.09000000,26100.00000000,26014.00000000,26016.01000000,1039.64183000,1692410399999,27086015.18025530
1692410400000,26016.01000000,26066.60000000,26000.15000000,26002.01000000,970.28205000,1692413999999,25253212.80648430
1692414000000,26002.01000000,26002.01000000,25924.00000000,25967.51000000,917.73428000,1692417599999,23825590.07708230
1692417600000,25967.51000000,26009.18000000,25922.00000000,25988.76000000,771.87155000,1692421199999,20047356.88610850
1692421200000,25988.76000000,25994.67000000,25875.01000000,25884.49000000,1092.01294000,1692424799999,28311057.38739420
1692424800000,25884.48000000,25929.02000000,25825.96000000,25836.28000000,1092.94363000,1692428399999,28283391.73505380
1692428400000,25836.27000000,25920.00000000,25801.09000000,25917.99000000,1497.93123000,1692431999999,38731422.09159930
1692432000000,25918.00000000,25999.01000000,25894.89000000,25932.97000000,1428.93159000,1692435599999,37081711.49000930
1692435600000,25932.98000000,25965.99000000,25884.00000000,25945.99000000,1096.90992000,1692439199999,28428162.09270710
1692439200000,25945.99000000,25959.70000000,25891.08000000,25908.82000000,849.26552000,1692442799999,22019945.55608090
1692442800000,25908.82000000,25943.75000000,25892.94000000,25900.08000000,648.84907000,1692446399999,16812768.22350700
1692446400000,25900.07000000,25926.00000000,25872.06000000,25914.37000000,908.20519000,1692449999999,23523176.37571680
1692450000000,25914.38000000,25981.53000000,25908.00000000,25925.24000000,978.21335000,1692453599999,25380068.60881260
1692453600000,25925.24000000,26051.36000000,25920.12000000,25975.00000000,1586.87295000,1692457199999,41253096.24097420
1692457200000,25975.01000000,26226.04000000,25957.29000000,26216.01000000,2633.08152000,1692460799999,68727761.73767810
1692460800000,26216.01000000,26281.00000000,26117.00000000,26253.30000000,2206.91551000,1692464399999,57762997.93329210
1692464400000,26253.30000000,26253.31000000,26072.29000000,26086.90000000,1368.59956000,1692467999999,35761312.30688680
